# Created by Octave 3.8.1, Sun May 31 18:00:43 2015 ART <mariano@choique>
# name: titulo
# type: sq_string
# elements: 1
# length: 49
# sigma R error_R phi error_phi theta error_theta


 1.00000000e-04 2.00839462e-01 8.86111081e-05 1.19946087e+02 3.69040159e-03 9.41165610e+00 1.11451371e-01
 1.47368421e-04 2.00839462e-01 1.09196144e-04 1.19946087e+02 4.58420056e-03 9.41165610e+00 1.55920636e-01
 1.94736842e-04 2.00839462e-01 1.17912871e-04 1.19946087e+02 5.09958126e-03 9.41165610e+00 1.99535120e-01
 2.42105263e-04 2.00839462e-01 1.31977399e-04 1.19946087e+02 6.25976241e-03 9.41165610e+00 2.15468810e-01
 2.89473684e-04 2.00839462e-01 1.71716944e-04 1.19946087e+02 8.00993303e-03 9.41165610e+00 2.36470960e-01
 3.36842105e-04 2.00839462e-01 1.95230952e-04 1.19946087e+02 9.04079105e-03 9.41165610e+00 2.63066353e-01
 3.84210526e-04 2.00839462e-01 2.02650086e-04 1.19946087e+02 9.55908948e-03 9.41165610e+00 3.11760652e-01
 4.31578947e-04 2.00839462e-01 2.18926119e-04 1.19946087e+02 1.06822125e-02 9.41165610e+00 3.63572090e-01
 4.78947368e-04 2.00839462e-01 2.40894349e-04 1.19946087e+02 1.13612197e-02 9.41165610e+00 4.06326428e-01
 5.26315789e-04 2.00839462e-01 2.73248169e-04 1.19946087e+02 1.22072214e-02 9.41165610e+00 4.15602342e-01
 5.73684211e-04 2.00839462e-01 2.89487036e-04 1.19946087e+02 1.30414624e-02 9.41165610e+00 4.50496768e-01
 6.21052632e-04 2.00839462e-01 3.20736078e-04 1.19946087e+02 1.40999811e-02 9.41165610e+00 4.67390757e-01
 6.68421053e-04 2.00839462e-01 3.40532250e-04 1.19946087e+02 1.49322391e-02 9.41165610e+00 4.93261660e-01
 7.15789474e-04 2.00839462e-01 3.57993176e-04 1.19946087e+02 1.56690508e-02 9.41165610e+00 5.27915315e-01
 7.63157895e-04 2.00839462e-01 3.76723270e-04 1.19946087e+02 1.65044470e-02 9.41165610e+00 5.53497200e-01
 8.10526316e-04 2.00839462e-01 3.96069256e-04 1.19946087e+02 1.70305107e-02 9.41165610e+00 6.05791723e-01
 8.57894737e-04 2.00839462e-01 4.13104341e-04 1.19946087e+02 1.80143772e-02 9.41165610e+00 6.52895890e-01
 9.05263158e-04 2.00839462e-01 4.41957519e-04 1.19946087e+02 1.91852654e-02 9.41165610e+00 7.02673483e-01
 9.52631579e-04 2.00839462e-01 4.63386340e-04 1.19946087e+02 2.04574151e-02 9.41165610e+00 7.48083683e-01
 1.00000000e-03 2.00839462e-01 4.83515786e-04 1.19946087e+02 2.14291599e-02 9.41165610e+00 7.76808287e-01
