# Created by Octave 3.8.1, Wed Jun 03 10:33:18 2015 ART <mariano@choique>
# name: titulo
# type: sq_string
# elements: 1
# length: 49
# sigma R error_R phi error_phi theta error_theta


 1.00000000e-04 2.00100753e-01 3.45881109e-06 1.19999217e+02 4.26802755e-03 1.17012697e-01 6.49843134e-02
 1.47368421e-04 2.00049279e-01 8.07661619e-05 1.19999146e+02 2.89752260e-03 2.00746464e-01 1.08535863e-01
 1.94736842e-04 1.99964124e-01 1.48787805e-04 1.20000525e+02 4.98104154e-03 2.14273926e-01 1.48871598e-01
 2.42105263e-04 1.99916344e-01 1.55236926e-04 1.20000576e+02 5.16136568e-03 2.72899374e-01 1.98368813e-01
 2.89473684e-04 1.99896058e-01 1.97236591e-04 1.20001406e+02 6.64368401e-03 2.89490104e-01 1.93688386e-01
 3.36842105e-04 1.99879655e-01 1.85345252e-04 1.20002756e+02 6.81019689e-03 3.04222608e-01 2.26554762e-01
 3.84210526e-04 1.99893690e-01 1.74206253e-04 1.20000480e+02 8.55495062e-03 3.37393667e-01 2.41253295e-01
 4.31578947e-04 1.99862350e-01 1.83417782e-04 1.20003480e+02 1.21938578e-02 3.56747662e-01 2.33930579e-01
 4.78947368e-04 1.99876973e-01 2.13141826e-04 1.20003225e+02 1.16137260e-02 3.47908619e-01 2.29905000e-01
 5.26315789e-04 1.99919348e-01 2.58389903e-04 1.20002581e+02 1.40217691e-02 3.94104979e-01 3.60944502e-01
 5.73684211e-04 1.99926754e-01 2.55052676e-04 1.20002313e+02 1.43823705e-02 4.35672404e-01 3.69709042e-01
 6.21052632e-04 1.99979230e-01 3.55486790e-04 1.19999354e+02 1.77146883e-02 5.58520618e-01 5.47167480e-01
 6.68421053e-04 1.99961699e-01 3.48919601e-04 1.20002387e+02 2.06290380e-02 5.38141913e-01 5.29740857e-01
 7.15789474e-04 1.99940300e-01 3.44930203e-04 1.20002234e+02 1.98973807e-02 5.80428439e-01 5.44685181e-01
 7.63157895e-04 1.99938129e-01 3.47100531e-04 1.20001036e+02 2.06203628e-02 6.44997618e-01 5.98225063e-01
 8.10526316e-04 1.99852960e-01 4.74383259e-04 1.20004846e+02 2.53335884e-02 6.36980320e-01 5.93616489e-01
 8.57894737e-04 1.99891669e-01 5.17994532e-04 1.20002751e+02 2.60307595e-02 6.86935897e-01 6.20244646e-01
 9.05263158e-04 1.99904067e-01 5.21028553e-04 1.20001407e+02 2.61958567e-02 7.53612988e-01 6.64271462e-01
 9.52631579e-04 1.99919825e-01 5.11939505e-04 1.20000573e+02 2.60758298e-02 7.52002465e-01 6.49813083e-01
 1.00000000e-03 1.99951791e-01 5.49758487e-04 1.19998970e+02 2.72591173e-02 8.13544998e-01 7.83196186e-01
