# Created by Octave 3.8.1, Fri Jun 19 14:21:06 2015 ART <mariano@choique>
# name: titulo
# type: sq_string
# elements: 1
# length: 106
# sigma R error_R error_relativo_R phi error_phi error_relativo_phi theta error_theta error_relativo_theta


 1.00000000e-04 2.00009137e-01 8.86563037e-05 4.43261268e-04 1.19999648e+02 3.88166860e-03 3.23473333e-05 1.61906160e-01 1.04823655e-01 6.47434633e-01
 1.47368421e-04 2.00004722e-01 1.07596458e-04 5.37969588e-04 1.20000286e+02 4.77462200e-03 3.97884217e-05 1.94284661e-01 1.22275559e-01 6.29362906e-01
 1.94736842e-04 1.99998249e-01 1.22430848e-04 6.12159600e-04 1.20000352e+02 5.77383259e-03 4.81151305e-05 2.43487274e-01 1.69785171e-01 6.97306142e-01
 2.42105263e-04 1.99997469e-01 1.47472557e-04 7.37372119e-04 1.20000271e+02 6.76902548e-03 5.64084183e-05 2.93610743e-01 2.16666992e-01 7.37939594e-01
 2.89473684e-04 1.99996851e-01 1.75472290e-04 8.77375265e-04 1.20000098e+02 7.87025145e-03 6.55853754e-05 3.27260571e-01 2.54354387e-01 7.77222830e-01
 3.36842105e-04 1.99999823e-01 1.92991418e-04 9.64957943e-04 1.20000000e+02 8.90001321e-03 7.41667769e-05 3.50536198e-01 2.68549816e-01 7.66111510e-01
 3.84210526e-04 1.99998527e-01 2.19263584e-04 1.09632600e-03 1.19999915e+02 1.00886069e-02 8.40717843e-05 3.83765375e-01 2.95973602e-01 7.71235816e-01
 4.31578947e-04 1.99998443e-01 2.36425895e-04 1.18213868e-03 1.19999752e+02 1.06487286e-02 8.87395882e-05 4.19374477e-01 3.26475531e-01 7.78482117e-01
 4.78947368e-04 1.99990792e-01 2.54693674e-04 1.27352700e-03 1.20000105e+02 1.16604758e-02 9.71705463e-05 4.52312231e-01 3.56129782e-01 7.87353863e-01
 5.26315789e-04 1.99990840e-01 2.82638468e-04 1.41325707e-03 1.19999943e+02 1.28810010e-02 1.07341726e-04 4.87862762e-01 3.92683325e-01 8.04905304e-01
 5.73684211e-04 1.99998332e-01 3.03056592e-04 1.51529560e-03 1.19999821e+02 1.35043930e-02 1.12536776e-04 5.33108631e-01 4.38929185e-01 8.23339108e-01
 6.21052632e-04 1.99998349e-01 3.15939423e-04 1.57971015e-03 1.19999825e+02 1.44780757e-02 1.20650807e-04 5.82494886e-01 5.01487534e-01 8.60930363e-01
 6.68421053e-04 1.99995160e-01 3.35976154e-04 1.67992143e-03 1.19999988e+02 1.52785223e-02 1.27321032e-04 6.25573070e-01 5.44337093e-01 8.70141505e-01
 7.15789474e-04 1.99998714e-01 3.63417840e-04 1.81710089e-03 1.19999973e+02 1.62779404e-02 1.35649534e-04 6.69170204e-01 5.81413349e-01 8.68857198e-01
 7.63157895e-04 2.00165516e-01 6.47491798e-03 3.23478194e-02 1.19920866e+02 3.07140832e+00 2.56119592e-02 7.10627456e-01 6.20682189e-01 8.73428383e-01
 8.10526316e-04 2.00150548e-01 6.27138074e-03 3.13333179e-02 1.19925954e+02 2.97389013e+00 2.47977192e-02 7.59982198e-01 6.77496698e-01 8.91463906e-01
 8.57894737e-04 2.00289677e-01 8.58636957e-03 4.28697559e-02 1.19860287e+02 4.07890309e+00 3.40304799e-02 8.00261548e-01 7.08455975e-01 8.85280540e-01
 9.05263158e-04 2.00274771e-01 8.34643543e-03 4.16749219e-02 1.19867862e+02 3.96404718e+00 3.30701416e-02 8.37016121e-01 7.35504832e-01 8.78722421e-01
 9.52631579e-04 2.00390499e-01 9.95288123e-03 4.96674307e-02 1.19812181e+02 4.72426506e+00 3.94305905e-02 8.76153093e-01 7.63162554e-01 8.71037905e-01
 1.00000000e-03 2.00620655e-01 1.24981754e-02 6.22975505e-02 1.19702451e+02 5.94171550e+00 4.96373753e-02 9.18858986e-01 8.03274451e-01 8.74208625e-01
