# Created by Octave 3.8.1, Sun Jun 21 19:31:30 2015 ART <mariano@choique>
# name: titulo
# type: sq_string
# elements: 1
# length: 106
# sigma R error_R error_relativo_R phi error_phi error_relativo_phi theta error_theta error_relativo_theta


 1.00000000e-04 1.99999615e-01 8.47143832e-05 4.23572732e-04 1.19999976e+02 3.83753056e-03 3.19794276e-05 1.82864272e-01 9.72461629e-02 5.31794219e-01
 1.47368421e-04 1.99992642e-01 1.02258370e-04 5.11310660e-04 1.20000210e+02 4.73034986e-03 3.94195131e-05 2.03638503e-01 1.22287155e-01 6.00510971e-01
 1.94736842e-04 1.99996526e-01 1.29106579e-04 6.45544108e-04 1.20000284e+02 5.50084159e-03 4.58402381e-05 2.36643423e-01 1.58087669e-01 6.68041676e-01
 2.42105263e-04 1.99997943e-01 1.48920464e-04 7.44609976e-04 1.20000111e+02 6.72636903e-03 5.60530235e-05 2.65134593e-01 1.83477694e-01 6.92017184e-01
 2.89473684e-04 1.99997847e-01 1.69482275e-04 8.47420497e-04 1.20000153e+02 7.47967666e-03 6.23305596e-05 3.05447998e-01 2.24133787e-01 7.33787055e-01
 3.36842105e-04 1.99996809e-01 1.88799974e-04 9.44014929e-04 1.20000333e+02 8.41129013e-03 7.00938897e-05 3.52972123e-01 2.77018188e-01 7.84816053e-01
 3.84210526e-04 1.99997659e-01 2.12692324e-04 1.06347407e-03 1.20000608e+02 9.41721195e-03 7.84763685e-05 3.86372711e-01 3.10096788e-01 8.02584601e-01
 4.31578947e-04 1.99993322e-01 2.32282656e-04 1.16145207e-03 1.20000946e+02 1.04662543e-02 8.72180983e-05 4.30444299e-01 3.48454902e-01 8.09523794e-01
 4.78947368e-04 1.99993584e-01 2.63062903e-04 1.31535671e-03 1.20000846e+02 1.15657849e-02 9.63808611e-05 4.64917768e-01 3.82383531e-01 8.22475624e-01
 5.26315789e-04 1.99995148e-01 2.85246918e-04 1.42626919e-03 1.20000984e+02 1.27154061e-02 1.05960848e-04 5.08853599e-01 4.25720672e-01 8.36627024e-01
 5.73684211e-04 1.99998134e-01 3.07584344e-04 1.53793607e-03 1.20000567e+02 1.34527043e-02 1.12105339e-04 5.45325024e-01 4.59790045e-01 8.43148626e-01
 6.21052632e-04 1.99996256e-01 3.26761682e-04 1.63383899e-03 1.20000710e+02 1.44296508e-02 1.20246379e-04 5.84736532e-01 4.95415343e-01 8.47245410e-01
 6.68421053e-04 1.99996030e-01 3.46733408e-04 1.73370146e-03 1.20000827e+02 1.53803347e-02 1.28168573e-04 6.25838682e-01 5.28689720e-01 8.44769961e-01
 7.15789474e-04 2.00003533e-01 3.69165601e-04 1.84579540e-03 1.20000531e+02 1.63322616e-02 1.36101578e-04 6.64714211e-01 5.69100313e-01 8.56157886e-01
 7.63157895e-04 2.00167053e-01 6.46071570e-03 3.22766189e-02 1.19921043e+02 3.07139664e+00 2.56118240e-02 7.08773131e-01 6.09685944e-01 8.60199007e-01
 8.10526316e-04 2.00161503e-01 6.25765843e-03 3.12630467e-02 1.19925801e+02 2.97387049e+00 2.47975870e-02 7.46242333e-01 6.41424746e-01 8.59539478e-01
 8.57894737e-04 2.00150520e-01 6.07309309e-03 3.03426296e-02 1.19930350e+02 2.88509209e+00 2.40563967e-02 7.80346876e-01 6.75394380e-01 8.65505330e-01
 9.05263158e-04 2.00419415e-01 1.02034163e-02 5.09103189e-02 1.19801852e+02 4.85356973e+00 4.05133112e-02 8.20455141e-01 7.16077866e-01 8.72781253e-01
 9.52631579e-04 2.00665048e-01 1.27870278e-02 6.37232440e-02 1.19686888e+02 6.09574521e+00 5.09307689e-02 8.53185536e-01 7.39586932e-01 8.66853575e-01
 1.00000000e-03 2.00889636e-01 1.47472942e-02 7.34099302e-02 1.19583178e+02 7.02677169e+00 5.87605364e-02 8.96639687e-01 7.75787680e-01 8.65216754e-01
