# Created by Octave 3.8.1, Wed Aug 05 13:42:42 2015 ART <mariano@choique>
# name: titulo
# type: sq_string
# elements: 1
# length: 106
# sigma R error_R error_relativo_R phi error_phi error_relativo_phi theta error_theta error_relativo_theta


 1.00000000e-04 2.00007836e-01 8.41814658e-05 4.20890838e-04 1.19999685e+02 3.57822614e-03 2.98186295e-05 1.42855276e-01 9.68847408e-02 6.78202048e-01
 1.47368421e-04 2.00002581e-01 1.03515500e-04 5.17570822e-04 1.19999892e+02 4.37194569e-03 3.64329136e-05 1.83629800e-01 1.30320597e-01 7.09691983e-01
 1.94736842e-04 2.00004041e-01 1.24999717e-04 6.24985957e-04 1.19999909e+02 5.58985890e-03 4.65821930e-05 2.15059822e-01 1.57862445e-01 7.34039693e-01
 2.42105263e-04 2.00002557e-01 1.44696848e-04 7.23474991e-04 1.19999885e+02 6.40811670e-03 5.34010239e-05 2.62773526e-01 2.13348852e-01 8.11911514e-01
 2.89473684e-04 2.00002941e-01 1.62428084e-04 8.12128478e-04 1.19999933e+02 7.25110905e-03 6.04259427e-05 3.00963650e-01 2.37819607e-01 7.90193789e-01
 3.36842105e-04 2.00001920e-01 1.79322634e-04 8.96604562e-04 1.19999841e+02 7.82487121e-03 6.52073463e-05 3.38802938e-01 2.69723658e-01 7.96107791e-01
 3.84210526e-04 1.99999667e-01 1.99607546e-04 9.98039394e-04 1.19999814e+02 8.86026715e-03 7.38356739e-05 3.76781016e-01 3.05154577e-01 8.09899024e-01
 4.31578947e-04 2.00002744e-01 2.21950703e-04 1.10973829e-03 1.19999660e+02 9.87179027e-03 8.22651520e-05 4.15064970e-01 3.36764630e-01 8.11354014e-01
 4.78947368e-04 2.00002331e-01 2.48886829e-04 1.24441964e-03 1.19999823e+02 1.06912805e-02 8.90941355e-05 4.59023769e-01 3.77306197e-01 8.21975291e-01
 5.26315789e-04 1.99995815e-01 2.70162596e-04 1.35084125e-03 1.19999852e+02 1.21058546e-02 1.00882247e-04 4.96918532e-01 4.14749880e-01 8.34643615e-01
 5.73684211e-04 2.00001858e-01 2.91189616e-04 1.45593455e-03 1.19999442e+02 1.34597666e-02 1.12165243e-04 5.38300561e-01 4.53594210e-01 8.42641162e-01
 6.21052632e-04 1.99999850e-01 3.13839118e-04 1.56919676e-03 1.19999660e+02 1.43626345e-02 1.19688961e-04 5.81901460e-01 4.99185271e-01 8.57851897e-01
 6.68421053e-04 2.00004825e-01 3.34379884e-04 1.67185909e-03 1.19999668e+02 1.50159217e-02 1.25133027e-04 6.19400683e-01 5.39346937e-01 8.70756123e-01
 7.15789474e-04 2.00005185e-01 3.61018847e-04 1.80504744e-03 1.19999728e+02 1.61787494e-02 1.34823217e-04 6.53073092e-01 5.59110785e-01 8.56122833e-01
 7.63157895e-04 2.00003581e-01 3.81079911e-04 1.90536544e-03 1.19999817e+02 1.68226568e-02 1.40189021e-04 6.91225007e-01 5.96645404e-01 8.63171034e-01
 8.10526316e-04 2.00002347e-01 4.06128150e-04 2.03061692e-03 1.19999964e+02 1.79116755e-02 1.49264008e-04 7.27879745e-01 6.26688826e-01 8.60978521e-01
 8.57894737e-04 2.00001937e-01 4.25463015e-04 2.12729447e-03 1.19999993e+02 1.89804708e-02 1.58170599e-04 7.64909707e-01 6.54075838e-01 8.55102023e-01
 9.05263158e-04 2.00004157e-01 4.53035434e-04 2.26513009e-03 1.19999742e+02 2.00950367e-02 1.67458998e-04 8.08331161e-01 7.01811647e-01 8.68222927e-01
 9.52631579e-04 2.00263424e-01 8.11569508e-03 4.05250990e-02 1.19874551e+02 3.85836972e+00 3.21867293e-02 8.48093372e-01 7.35853954e-01 8.67656768e-01
 1.00000000e-03 2.00248546e-01 7.91254137e-03 3.95136021e-02 1.19880886e+02 3.76073349e+00 3.13705848e-02 8.86613526e-01 7.64402559e-01 8.62159821e-01
