# Created by Octave 3.8.1, Wed Aug 05 12:35:12 2015 ART <mariano@choique>
# name: titulo
# type: sq_string
# elements: 1
# length: 106
# sigma R error_R error_relativo_R phi error_phi error_relativo_phi theta error_theta error_relativo_theta


 1.00000000e-04 1.99996506e-01 7.63815817e-05 3.81914581e-04 1.20000320e+02 3.19784263e-03 2.66486176e-05 1.68191959e-01 1.11695933e-01 6.64097941e-01
 1.47368421e-04 1.99987988e-01 9.93885515e-05 4.96972605e-04 1.20000890e+02 4.69983376e-03 3.91649910e-05 1.90135628e-01 1.26161099e-01 6.63532133e-01
 1.94736842e-04 1.99999247e-01 1.25483242e-04 6.27418574e-04 1.20000277e+02 5.62452906e-03 4.68709671e-05 2.28321621e-01 1.60330886e-01 7.02215080e-01
 2.42105263e-04 1.99994380e-01 1.49384427e-04 7.46943121e-04 1.20000520e+02 6.49413569e-03 5.41175630e-05 2.61624800e-01 1.86234658e-01 7.11838701e-01
 2.89473684e-04 1.99994777e-01 1.73804452e-04 8.69044955e-04 1.20000338e+02 7.77584291e-03 6.47985085e-05 2.98621852e-01 2.19687889e-01 7.35672517e-01
 3.36842105e-04 1.99990790e-01 1.90542664e-04 9.52757194e-04 1.20000318e+02 8.39946241e-03 6.99953349e-05 3.34578849e-01 2.54400862e-01 7.60361459e-01
 3.84210526e-04 1.99993191e-01 2.15019991e-04 1.07513656e-03 1.20000220e+02 9.33799925e-03 7.78165178e-05 3.76584853e-01 2.96468347e-01 7.87255102e-01
 4.31578947e-04 1.99997313e-01 2.32808296e-04 1.16405712e-03 1.19999964e+02 1.02038211e-02 8.50318681e-05 4.19883162e-01 3.39094325e-01 8.07592099e-01
 4.78947368e-04 2.00001361e-01 2.64507420e-04 1.32252810e-03 1.19999931e+02 1.13369469e-02 9.44746120e-05 4.62681138e-01 3.84219864e-01 8.30420419e-01
 5.26315789e-04 1.99999530e-01 2.83374886e-04 1.41687776e-03 1.20000067e+02 1.20906974e-02 1.00755755e-04 5.06741891e-01 4.17871672e-01 8.24624290e-01
 5.73684211e-04 2.00000469e-01 3.04395037e-04 1.52197161e-03 1.19999980e+02 1.29667666e-02 1.08056406e-04 5.50067796e-01 4.63280122e-01 8.42223678e-01
 6.21052632e-04 2.00000415e-01 3.24301602e-04 1.62150465e-03 1.20000021e+02 1.38450185e-02 1.15375134e-04 5.90362862e-01 4.96223563e-01 8.40539937e-01
 6.68421053e-04 1.99997455e-01 3.41919322e-04 1.70961836e-03 1.20000063e+02 1.49057112e-02 1.24214195e-04 6.32470824e-01 5.30011655e-01 8.38001747e-01
 7.15789474e-04 2.00170113e-01 6.69665027e-03 3.34547959e-02 1.19915140e+02 3.17919379e+00 2.65120301e-02 6.78689777e-01 5.69461017e-01 8.39059370e-01
 7.63157895e-04 2.00167048e-01 6.47138605e-03 3.23299270e-02 1.19920426e+02 3.07139305e+00 2.56119258e-02 7.13829952e-01 6.01318410e-01 8.42383271e-01
 8.10526316e-04 2.00158759e-01 6.26803698e-03 3.13153269e-02 1.19925313e+02 2.97387328e+00 2.47977112e-02 7.59363185e-01 6.38265337e-01 8.40527102e-01
 8.57894737e-04 2.00146310e-01 6.08334501e-03 3.03944899e-02 1.19929784e+02 2.88509253e+00 2.40565140e-02 7.87855330e-01 6.57260094e-01 8.34239573e-01
 9.05263158e-04 2.00137045e-01 5.91467964e-03 2.95531476e-02 1.19933697e+02 2.80381720e+00 2.33780602e-02 8.30320945e-01 6.91140802e-01 8.32377897e-01
