# Created by Octave 3.8.1, Fri Jun 19 11:42:36 2015 ART <mariano@choique>
# name: titulo
# type: sq_string
# elements: 1
# length: 67
# sigma   1/N   R   error_R   phi   error_phi   theta   error_theta


 1.00000000e-04 2.00000000e-01 2.00015420e-01 4.65153084e-05 1.19999747e+02 4.00858322e-03 9.29000609e-02 7.95580793e-02
 1.00000000e-04 1.00000000e-01 1.99995499e-01 6.98636183e-05 1.20001708e+02 3.48703203e-03 1.63363518e-01 1.31983549e-01
 1.00000000e-04 6.66666667e-02 1.99995739e-01 1.01209014e-04 1.20001005e+02 3.68874213e-03 1.49290428e-01 1.16359185e-01
 1.00000000e-04 5.00000000e-02 1.99988681e-01 9.94442628e-05 1.20000866e+02 3.30199805e-03 1.55516503e-01 1.06979640e-01
 1.00000000e-04 4.00000000e-02 1.99997681e-01 9.03099166e-05 1.20000433e+02 3.58183218e-03 1.63999221e-01 1.11624437e-01
 1.00000000e-04 3.33333333e-02 2.00000066e-01 8.49196647e-05 1.20000172e+02 3.27962923e-03 1.66314293e-01 1.12630859e-01
 1.00000000e-04 2.85714286e-02 2.00003230e-01 8.37281738e-05 1.20000261e+02 3.65972929e-03 1.61480888e-01 1.05836240e-01
 1.00000000e-04 2.50000000e-02 1.99999117e-01 8.26082072e-05 1.20000247e+02 3.62900443e-03 1.62238817e-01 1.02246100e-01
 1.00000000e-04 2.22222222e-02 1.99996314e-01 7.99779550e-05 1.20000198e+02 3.60793614e-03 1.54529764e-01 1.00340929e-01
 1.00000000e-04 2.00000000e-02 1.99997414e-01 7.91419952e-05 1.20000111e+02 3.55770610e-03 1.56786426e-01 1.03661353e-01
 1.00000000e-04 1.81818182e-02 1.99998292e-01 7.70791424e-05 1.20000061e+02 3.48726197e-03 1.59174190e-01 1.04152527e-01
 1.00000000e-04 1.66666667e-02 2.00001448e-01 7.87311844e-05 1.19999884e+02 3.51837467e-03 1.61956446e-01 1.03301871e-01
 1.00000000e-04 1.53846154e-02 2.00001802e-01 7.88750832e-05 1.19999899e+02 3.53472853e-03 1.61260032e-01 1.01057101e-01
 1.00000000e-04 1.42857143e-02 2.00004001e-01 7.95907180e-05 1.19999797e+02 3.53752227e-03 1.59041644e-01 9.93828103e-02
 1.00000000e-04 1.33333333e-02 2.00004535e-01 7.93174861e-05 1.19999753e+02 3.52678696e-03 1.58319888e-01 9.99688719e-02
 1.00000000e-04 1.25000000e-02 2.00003316e-01 8.04623527e-05 1.19999771e+02 3.57282683e-03 1.57155614e-01 1.00337397e-01
 1.00000000e-04 1.17647059e-02 2.00003433e-01 7.98051107e-05 1.19999816e+02 3.58942422e-03 1.57393673e-01 9.93662266e-02
 1.00000000e-04 1.11111111e-02 2.00002248e-01 8.03988943e-05 1.19999859e+02 3.66833311e-03 1.55690373e-01 9.95155712e-02
 1.00000000e-04 1.05263158e-02 2.00001101e-01 8.07285056e-05 1.19999887e+02 3.64468757e-03 1.55595205e-01 9.98750444e-02
 1.00000000e-04 1.00000000e-02 2.00001385e-01 8.09729552e-05 1.19999878e+02 3.65747183e-03 1.54323799e-01 9.93844562e-02
