# Created by Octave 3.8.1, Wed Aug 05 09:57:57 2015 ART <mariano@choique>
# name: titulo
# type: sq_string
# elements: 1
# length: 67
# sigma   1/N   R   error_R   phi   error_phi   theta   error_theta


 1.00000000e-04 2.00000000e-01 2.00061650e-01 6.09914620e-05 1.19997388e+02 4.84079993e-03 9.76269228e-02 7.59557936e-02
 1.00000000e-04 1.00000000e-01 2.00040504e-01 9.04914791e-05 1.19997731e+02 4.58327700e-03 8.88946623e-02 8.85781995e-02
 1.00000000e-04 6.66666667e-02 2.00028822e-01 7.28061135e-05 1.19998773e+02 3.94741627e-03 1.15318914e-01 1.03239355e-01
 1.00000000e-04 5.00000000e-02 2.00015110e-01 6.79295683e-05 1.19999343e+02 3.59643761e-03 1.28226374e-01 1.04549421e-01
 1.00000000e-04 4.00000000e-02 2.00001076e-01 7.58438924e-05 1.19999793e+02 3.55272621e-03 1.41071674e-01 1.03652637e-01
 1.00000000e-04 3.33333333e-02 2.00002066e-01 7.60728755e-05 1.19999858e+02 3.66574775e-03 1.43728255e-01 1.02445269e-01
 1.00000000e-04 2.85714286e-02 1.99997465e-01 7.59779899e-05 1.20000214e+02 3.65978493e-03 1.52694738e-01 9.98889854e-02
 1.00000000e-04 2.50000000e-02 1.99999419e-01 7.87821007e-05 1.20000108e+02 3.76412232e-03 1.48063897e-01 9.94664138e-02
 1.00000000e-04 2.22222222e-02 1.99997402e-01 8.05976939e-05 1.20000097e+02 3.76774704e-03 1.48698655e-01 1.00724159e-01
 1.00000000e-04 2.00000000e-02 1.99994893e-01 7.82600749e-05 1.20000103e+02 3.66487503e-03 1.55251072e-01 1.04312298e-01
 1.00000000e-04 1.81818182e-02 1.99998414e-01 7.98945277e-05 1.19999954e+02 3.71339068e-03 1.54206288e-01 1.05942570e-01
 1.00000000e-04 1.66666667e-02 2.00000230e-01 8.11440255e-05 1.19999961e+02 3.73102092e-03 1.58466199e-01 1.07323467e-01
 1.00000000e-04 1.53846154e-02 1.99997400e-01 8.13459208e-05 1.20000005e+02 3.65988223e-03 1.62271865e-01 1.06865876e-01
 1.00000000e-04 1.42857143e-02 1.99996594e-01 8.13093133e-05 1.19999990e+02 3.63999961e-03 1.61652890e-01 1.07585634e-01
 1.00000000e-04 1.33333333e-02 1.99999183e-01 8.10644842e-05 1.19999927e+02 3.63052606e-03 1.60789769e-01 1.05257700e-01
 1.00000000e-04 1.25000000e-02 1.99998602e-01 8.16682904e-05 1.19999962e+02 3.64887097e-03 1.60332128e-01 1.04126975e-01
 1.00000000e-04 1.17647059e-02 1.99997701e-01 8.25136224e-05 1.20000021e+02 3.70341379e-03 1.60534649e-01 1.02470119e-01
 1.00000000e-04 1.11111111e-02 1.99997732e-01 8.23430130e-05 1.19999979e+02 3.71951017e-03 1.60935103e-01 1.02988221e-01
 1.00000000e-04 1.05263158e-02 1.99998204e-01 8.29486803e-05 1.19999968e+02 3.72607462e-03 1.61218150e-01 1.03771362e-01
 1.00000000e-04 1.00000000e-02 1.99997477e-01 8.24371081e-05 1.19999980e+02 3.74185053e-03 1.60075516e-01 1.03689783e-01
